emp_number,surname,user_name,gender,city,job_title,department_name,store_location,division,age,lengthservice,absenthours,business_unit
1,Gutierrez,Molly,F,Burnaby,Baker,Bakery,Burnaby,Stores,32,6,36.58,Stores
2,Hardwick,Stephen,M,Courtenay,Baker,Bakery,Nanaimo,Stores,40,6,30.17,Stores
3,Delgado,Chester,M,Richmond,Baker,Bakery,Richmond,Stores,49,4,83.81,Stores
4,Simon,Irene,F,Victoria,Baker,Bakery,Victoria,Stores,45,3,70.02,Stores
5,Delvalle,Edward,M,New Westminster,Baker,Bakery,New Westminster,Stores,36,4,0.00,Stores
6,Jones,Ernie,M,Richmond,Baker,Bakery,Richmond,Stores,48,3,81.83,Stores
7,Buford,Ralph,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,51,10,60.50,HeadOffice
8,Lee,Gregory,M,Sechelt,Baker,Bakery,West Vancouver,Stores,36,4,30.07,Stores
9,Smith,Jerry,M,New Westminster,Baker,Bakery,New Westminster,Stores,58,7,181.63,Stores
10,Beard,Robert,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40,14,30.66,HeadOffice
11,Mathis,John,M,New Westminster,Baker,Bakery,New Westminster,Stores,47,5,28.02,Stores
12,Barajas,John,M,Kamloops,Baker,Bakery,Kamloops,Stores,15,4,0.00,Stores
13,Leonard,James,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,38,4,0.00,Stores
14,Davis,Janet,F,Vananda,Baker,Bakery,Nanaimo,Stores,31,5,34.33,Stores
15,Bell,Thomas,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50,5,0.00,HeadOffice
16,Combs,Danny,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,43,19,21.66,HeadOffice
17,Vivanco,Anne,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49,10,0.00,HeadOffice
18,Craig,Bobbie,F,West Vancouver,Baker,Bakery,West Vancouver,Stores,42,3,55.10,Stores
19,Jones,Ilona,F,New Westminster,Baker,Bakery,New Westminster,Stores,51,5,81.60,Stores
20,Watkins,Jan,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,37,11,94.67,HeadOffice
21,Callaway,Jesus,M,Burnaby,Baker,Bakery,Burnaby,Stores,58,3,108.38,Stores
22,Hammett,Josephine,F,New Westminster,Baker,Bakery,New Westminster,Stores,24,3,0.00,Stores
23,Jarman,Sandra,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50,7,67.74,HeadOffice
24,Butler,Jennifer,F,Victoria,Baker,Bakery,Victoria,Stores,61,4,158.70,Stores
25,Simons,Larry,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,36,5,0.00,Stores
26,Mason,Penny,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,36,3,48.02,Stores
27,Burton,Theodore,M,Kelowna,Baker,Bakery,Kelowna,Stores,42,5,42.79,Stores
28,Hunt,Joseph,M,Trail,Baker,Bakery,Trail,Stores,35,5,34.52,Stores
29,Loiselle,Thomas,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,40,12,59.88,HeadOffice
30,Nguyen,William,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,50,4,100.67,Stores
31,Schrupp,James,M,Penticton,Baker,Bakery,Kelowna,Stores,38,3,9.52,Stores
32,Donaldson,Adriana,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,43,19,38.88,HeadOffice
33,Thompson,Felipe,M,Duncan,Baker,Bakery,Quesnel,Stores,50,6,129.84,Stores
34,Livingston,Lester,M,Kelowna,Baker,Bakery,Kelowna,Stores,77,3,44.27,Stores
35,Ashley,Emma,F,Crawford Bay,Baker,Bakery,Cranbrook,Stores,24,3,0.00,Stores
36,Davis,Jeffery,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36,18,0.00,HeadOffice
37,Farris,Augustina,F,Courtenay,Baker,Bakery,Nanaimo,Stores,52,5,75.26,Stores
38,Colman,Katherine,F,Port Hardy,Baker,Bakery,Nanaimo,Stores,40,6,58.97,Stores
39,Martin,Daniel,M,Kelowna,Baker,Bakery,Kelowna,Stores,52,4,134.67,Stores
40,Atencio,Morris,M,Logan Lake,Baker,Bakery,Kamloops,Stores,20,4,0.00,Stores
41,Harrod,Gloria,F,Abbotsford,Baker,Bakery,Abbotsford,Stores,45,5,78.34,Stores
42,Bell,Angelo,M,Dawson Creek,Baker,Bakery,Dawson Creek,Stores,67,2,169.00,Stores
43,Kelley,Virginia,F,Burnaby,Baker,Bakery,Burnaby,Stores,41,2,56.22,Stores
44,Turner,Stephen,M,Surrey,Baker,Bakery,Surrey,Stores,62,5,152.65,Stores
45,Mortimer,Cecilia,F,Victoria,Baker,Bakery,Victoria,Stores,28,6,0.00,Stores
46,Stutts,Belle,F,Surrey,Baker,Bakery,Surrey,Stores,50,5,80.24,Stores
47,Bryant,John,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50,1,78.75,HeadOffice
48,Nolan,John,M,Squamish,Baker,Bakery,Squamish,Stores,34,6,0.00,Stores
49,Allison,Connie,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,52,4,88.91,Stores
50,McAllister,Greg,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,39,21,21.39,HeadOffice
51,Murry,Adam,M,Burnaby,Baker,Bakery,Burnaby,Stores,30,8,3.74,Stores
52,Price,David,M,Penticton,Baker,Bakery,Kelowna,Stores,44,0,38.07,Stores
53,McCoy,Corey,M,New Westminster,Baker,Bakery,New Westminster,Stores,50,6,116.23,Stores
54,Baker,Linda,F,Nanaimo,Baker,Bakery,Nanaimo,Stores,35,5,0.00,Stores
55,Shultz,Charles,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,29,3,0.00,Stores
56,Medina,Bonita,F,Sidney,Baker,Bakery,Victoria,Stores,50,4,77.13,Stores
57,Houston,Harold,M,Coquitlam,Baker,Bakery,Nanaimo,Stores,25,5,0.00,Stores
58,Mejia,James,M,Chilliwack,Baker,Bakery,Chilliwack,Stores,43,4,24.79,Stores
59,Bates,Charles,M,Okanagan Mission,Baker,Bakery,Kelowna,Stores,54,4,121.45,Stores
60,Ross,Robert,M,New Westminster,Baker,Bakery,New Westminster,Stores,44,4,59.78,Stores
61,Heller,Joseph,M,Ganges,Baker,Bakery,Victoria,Stores,43,5,55.62,Stores
62,Murray,Faye,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,56,11,0.00,HeadOffice
63,Allen,Michelle,F,Prince George,Baker,Bakery,Prince George,Stores,31,1,0.00,Stores
64,Jones,Harvey,M,Atlin,Baker,Bakery,Terrace,Stores,43,6,55.06,Stores
65,Nystrom,Jane,F,Kamloops,Baker,Bakery,Kamloops,Stores,36,4,44.63,Stores
66,Albright,Paul,M,Whistler,Baker,Bakery,Squamish,Stores,39,6,42.46,Stores
67,Lovely,Janet,F,Surrey,Baker,Bakery,Surrey,Stores,23,6,0.00,Stores
68,Strayhorn,Billie,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40,12,0.00,HeadOffice
69,Jones,Tammy,F,Spences Bridge,Baker,Bakery,Kamloops,Stores,47,2,107.80,Stores
70,Gay,Donald,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44,12,78.84,HeadOffice
71,Green,Earnest,M,New Westminister,Baker,Bakery,New Westminister,Stores,53,5,110.15,Stores
72,Riley,Wendy,F,Gibsons,Baker,Bakery,West Vancouver,Stores,36,4,33.93,Stores
73,Malizia,Randall,M,Vernon,Baker,Bakery,Vernon,Stores,42,3,28.60,Stores
74,Lopez,Florence,F,Burnaby,Baker,Bakery,Burnaby,Stores,41,3,44.99,Stores
75,Howell,Carol,F,Fauquier,Baker,Bakery,Trail,Stores,47,2,126.50,Stores
76,Chico,Joyce,F,Victoria,Baker,Bakery,Victoria,Stores,45,6,19.62,Stores
77,White,Anthony,M,Kamloops,Baker,Bakery,Kamloops,Stores,38,6,0.00,Stores
78,Smith,Danny,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35,8,44.97,HeadOffice
79,Porter,Ana,F,Mackenzie,Baker,Bakery,Prince George,Stores,42,5,45.95,Stores
80,Depaz,Shari,F,New Westminster,Baker,Bakery,New Westminster,Stores,44,2,83.32,Stores
81,Witkowski,Alice,F,Squamish,Baker,Bakery,Squamish,Stores,54,3,136.34,Stores
82,Alvarez,Kenneth,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,46,4,53.31,Stores
83,Morales,Soledad,F,Gold Bridge,Baker,Bakery,Kamloops,Stores,48,4,96.61,Stores
84,Burden,Alexis,F,Penticton,Baker,Bakery,Kelowna,Stores,52,3,140.91,Stores
85,Dyal,William,M,Victoria,Baker,Bakery,Victoria,Stores,33,2,31.69,Stores
86,Hayden,Kenneth,M,New Westminster,Baker,Bakery,New Westminster,Stores,48,4,12.68,Stores
87,Caban,Joshua,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,35,14,54.30,HeadOffice
88,Knight,Mildred,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,37,19,0.00,HeadOffice
89,Thurmond,Linda,F,Duncan,Baker,Bakery,Quesnel,Stores,45,7,103.35,Stores
90,Monroe,Terra,F,Kelowna,Baker,Bakery,Kelowna,Stores,27,4,0.00,Stores
91,Velez,Colleen,F,Good Hope Lake,Baker,Bakery,Terrace,Stores,38,4,49.85,Stores
92,Martin,Lisa,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,40,1,58.29,HeadOffice
93,Godfrey,Ramon,M,Victoria,Baker,Bakery,Victoria,Stores,49,6,110.81,Stores
94,Jackson,Monica,F,Fort Fraser,Baker,Bakery,Prince George,Stores,52,5,158.68,Stores
95,Craig,Cristina,F,Victoria,Baker,Bakery,Victoria,Stores,38,5,73.48,Stores
96,Schooley,Daniel,M,Nelson,Baker,Bakery,Nelson,Stores,29,5,2.19,Stores
97,Wireman,Jacquie,F,New Westminster,Baker,Bakery,New Westminster,Stores,51,5,99.81,Stores
98,Tripp,Simone,F,Kamloops,Baker,Bakery,Kamloops,Stores,39,2,34.78,Stores
99,Cousins,Jessica,F,Kaslo,Baker,Bakery,Cranbrook,Stores,27,5,0.00,Stores
100,Drake,Mildred,F,Burnaby,Baker,Bakery,Burnaby,Stores,47,7,81.74,Stores
101,Gilreath,Mary,F,Victoria,Baker,Bakery,Victoria,Stores,39,5,51.76,Stores
102,Lundin,Edwina,F,New Westminster,Baker,Bakery,New Westminster,Stores,49,3,121.01,Stores
103,Gleason,Esther,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,44,17,48.37,HeadOffice
104,Sharma,Donald,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,56,2,137.46,Stores
105,Hash,Yvonne,F,Victoria,Baker,Bakery,Victoria,Stores,44,4,98.56,Stores
106,Harris,Arnold,M,Creston,Baker,Bakery,Cranbrook,Stores,30,3,0.00,Stores
107,Massey,Christie,F,Wynndel,Baker,Bakery,Cranbrook,Stores,46,5,44.00,Stores
108,Webber,Hobert,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,28,5,0.00,Stores
109,Edmondson,Cynthia,F,Burnaby,Baker,Bakery,Burnaby,Stores,37,5,39.10,Stores
110,Paschall,Marjorie,F,Muncho Lake,Baker,Bakery,Fort St John,Stores,50,6,138.93,Stores
111,Johnson,Dexter,M,New Westminster,Baker,Bakery,New Westminster,Stores,47,5,63.03,Stores
112,Fox,Keith,M,Creston,Baker,Bakery,Cranbrook,Stores,50,5,98.32,Stores
113,Kamen,Alan,M,Kitimat,Baker,Bakery,Terrace,Stores,39,2,56.30,Stores
114,Ogden,Nancy,F,Lac La Hache,Baker,Bakery,Williams Lake,Stores,37,5,25.47,Stores
115,Ervin,Patricia,F,Armstrong,Baker,Bakery,Vernon,Stores,48,4,96.88,Stores
116,Clark,Pauline,F,Victoria,Baker,Bakery,Victoria,Stores,50,3,118.49,Stores
117,Andrews,Debra,F,New Westminster,Baker,Bakery,New Westminster,Stores,40,6,34.02,Stores
118,Calderon,Sybil,F,Aldergrove,Baker,Bakery,Aldergrove,Stores,37,6,72.79,Stores
119,Torres,Lee,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,33,4,0.00,HeadOffice
120,Ward,James,M,Abbotsford,Baker,Bakery,Abbotsford,Stores,33,7,0.00,Stores
121,Browning,Christiane,F,Duncan,Baker,Bakery,Quesnel,Stores,59,7,153.26,Stores
122,Wurth,William,M,Duncan,Baker,Bakery,Quesnel,Stores,24,5,0.00,Stores
123,Prescott,Wesley,M,Quesnel,Baker,Bakery,Quesnel,Stores,43,8,53.85,Stores
124,Dunham,Ligia,F,Hixon,Baker,Bakery,Prince George,Stores,53,5,113.96,Stores
125,Garrett,Steve,M,Fauquier,Baker,Bakery,Trail,Stores,46,3,79.11,Stores
126,Alexander,Tyrone,M,Surrey,Baker,Bakery,Surrey,Stores,36,6,29.98,Stores
127,Cheek,Mary,F,Wynndel,Baker,Bakery,Cranbrook,Stores,38,2,68.40,Stores
128,Ackerman,Carrie,F,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,43,21,30.99,HeadOffice
129,Johnson,Patricia,F,Ocean Falls,Baker,Bakery,Ocean Falls,Stores,24,4,0.00,Stores
130,Haley,Carey,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,46,7,40.06,Stores
131,Hall,Maria,F,Vallican,Baker,Bakery,Trail,Stores,33,3,49.66,Stores
132,Bunch,Terra,F,North Pender Island,Baker,Bakery,Victoria,Stores,39,4,94.28,Stores
133,Martin,Terry,M,Victoria,Baker,Bakery,Victoria,Stores,36,2,58.09,Stores
134,Bass,Brian,M,Montney,Baker,Bakery,Fort St John,Stores,50,4,62.16,Stores
135,Wagner,Robert,M,Vancouver,Accounts Payable Clerk,Accounts Payable,Vancouver,FinanceAndAccounting,55,17,30.46,HeadOffice
136,McBride,Joanne,F,Ganges,Baker,Bakery,Victoria,Stores,44,4,90.81,Stores
137,Johnson,Paul,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36,18,37.12,HeadOffice
138,Cook,Anthony,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,56,11,0.00,HeadOffice
139,Loch,Dean,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,43,5,63.19,Stores
140,Defoor,James,M,Prince George,Baker,Bakery,Prince George,Stores,57,5,101.93,Stores
141,Wadlington,Arthur,M,Burns Lake,Baker,Bakery,Prince George,Stores,43,2,45.49,Stores
142,Harte,Vanessa,F,Midway,Baker,Bakery,Trail,Stores,50,3,124.20,Stores
143,Galindo,Zachary,M,Victoria,Baker,Bakery,Victoria,Stores,49,5,56.92,Stores
144,Reardon,Kenneth,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40,17,0.00,HeadOffice
145,Flores,Doris,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44,12,111.78,HeadOffice
146,Busch,Alice,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35,14,0.00,HeadOffice
147,Phillips,Alfredo,M,Westwold,Baker,Bakery,Vernon,Stores,61,3,96.26,Stores
148,Lopez,Christopher,M,Victoria,Baker,Bakery,Victoria,Stores,48,3,58.15,Stores
149,Fernandez,Emma,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,35,6,40.15,HeadOffice
150,Westling,Sharonda,F,Vananda,Baker,Bakery,Nanaimo,Stores,38,7,92.25,Stores
151,Pelletier,Ronald,M,Terrace,Baker,Bakery,Terrace,Stores,58,6,116.08,Stores
152,Chacon,William,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,37,3,24.50,HeadOffice
153,Petty,Leland,M,New Westminster,Baker,Bakery,New Westminster,Stores,38,3,17.07,Stores
154,Whitmire,Ernestine,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,40,6,90.17,HeadOffice
155,Rivers,Matthew,M,Victoria,Baker,Bakery,Victoria,Stores,49,6,46.53,Stores
156,Meyers,Kim,F,Golden,Baker,Bakery,Cranbrook,Stores,56,5,156.69,Stores
157,Hebert,Sheree,F,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,27,6,14.39,Stores
158,Jacques,Pearl,F,Vernon,Baker,Bakery,Vernon,Stores,52,3,113.26,Stores
159,Valdez,Gabriela,F,Hixon,Baker,Bakery,Prince George,Stores,61,3,159.97,Stores
160,Vidrine,Harold,M,Sechelt,Baker,Bakery,West Vancouver,Stores,66,4,223.78,Stores
161,Carbone,Edith,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,44,24,0.00,HeadOffice
162,Hernandez,Leonard,M,New Westminster,Baker,Bakery,New Westminster,Stores,40,4,79.12,Stores
163,Campbell,Frank,M,White Rock,Baker,Bakery,White Rock,Stores,57,6,154.26,Stores
164,Raley,Charlie,M,Aldergrove,Baker,Bakery,Aldergrove,Stores,31,4,0.00,Stores
165,Rayfield,Robert,M,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,36,18,0.00,HeadOffice
166,Shea,Melinda,F,Richmond,Baker,Bakery,Richmond,Stores,52,7,88.46,Stores
167,Coleman,David,M,Muncho Lake,Baker,Bakery,Fort St John,Stores,31,5,0.00,Stores
168,Haynes,Patrick,M,Whistler,Baker,Bakery,Squamish,Stores,55,6,95.50,Stores
169,Bonilla,Frederick,M,Surrey,Baker,Bakery,Surrey,Stores,50,3,120.08,Stores
170,Tobin,Sonia,F,Vancouver,Accounts Receiveable Clerk,Accounts Receiveable,Vancouver,FinanceAndAccounting,43,14,0.00,HeadOffice
171,Wood,Denise,F,Logan Lake,Baker,Bakery,Kamloops,Stores,30,5,0.00,Stores
172,Guajardo,Cynthia,F,Summerland,Baker,Bakery,Kelowna,Stores,43,1,82.90,Stores
173,Marshall,Caroline,F,Victoria,Baker,Bakery,Victoria,Stores,49,5,121.37,Stores
174,Ray,James,M,Prince George,Baker,Bakery,Prince George,Stores,38,4,34.20,Stores
175,Baum,Stephanie,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,46,14,69.48,HeadOffice
176,Dubin,Joesph,M,Kelowna,Baker,Bakery,Kelowna,Stores,44,4,56.20,Stores
177,Giles,Sarah,F,New Westminster,Baker,Bakery,New Westminster,Stores,44,5,61.49,Stores
178,Layman,Angelica,F,Victoria,Baker,Bakery,Victoria,Stores,43,6,60.09,Stores
179,Martin,Michaela,F,Victoria,Baker,Bakery,Victoria,Stores,44,1,66.32,Stores
180,Williams,Michael,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,46,4,71.56,Stores
181,Hoyt,Arnold,M,West Vancouver,Baker,Bakery,West Vancouver,Stores,38,7,33.94,Stores
182,Belliveau,Tina,F,Victoria,Baker,Bakery,Victoria,Stores,33,4,46.92,Stores
183,Hoffman,Marvin,M,Langley,Baker,Bakery,Langley,Stores,40,3,40.23,Stores
184,Slavin,Paul,M,Port Coquitlam,Baker,Bakery,Port Coquitlam,Stores,38,5,29.16,Stores
185,Rosenfeld,Mary,F,Victoria,Baker,Bakery,Victoria,Stores,42,2,44.16,Stores
186,Bryan,Larry,M,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,45,13,47.51,HeadOffice
187,Hines,Oswaldo,M,Kamloops,Baker,Bakery,Kamloops,Stores,34,4,0.00,Stores
188,Finley,Anna,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,49,1,121.79,HeadOffice
189,McCaffery,Francis,M,Victoria,Baker,Bakery,Victoria,Stores,35,5,31.14,Stores
190,Ditch,Diana,F,New Westminster,Baker,Bakery,New Westminster,Stores,54,5,79.22,Stores
191,Foster,Bonnie,F,Vancouver,Auditor,Audit,Vancouver,FinanceAndAccounting,44,26,38.56,HeadOffice
192,Mitchell,Mary,F,Chilliwack,Baker,Bakery,Chilliwack,Stores,19,4,0.00,Stores
193,Peterson,Brenda,F,Huntingdon,Baker,Bakery,Abbotsford,Stores,47,5,44.74,Stores
194,Stokley,George,M,Nelson,Baker,Bakery,Nelson,Stores,45,4,93.42,Stores
195,Hauser,Harold,M,Burnaby,Baker,Bakery,Burnaby,Stores,49,6,96.66,Stores
196,Russell,James,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,51,1,71.73,Stores
